date,symbol,open,close,high,low
2021-12-02,goog,2836.48,2875.53,2893.5,2819.6899
2021-12-01,goog,2884.25,2832.3601,2929.9824,2830.0
2021-11-30,goog,2909.0049,2849.04,2932.5701,2841.3201
2021-11-29,goog,2885.97,2922.28,2937.24,2885.97
2021-11-26,goog,2900.3101,2856.1201,2905.9399,2849.71
2021-11-24,goog,2927.0,2934.3501,2940.0,2903.98
2021-11-23,goog,2942.26,2935.1399,2953.8799,2897.79
2021-11-22,goog,3002.8352,2941.5701,3014.51,2940.1101
2021-11-19,goog,3020.0,2999.05,3037.0,2997.75
2021-11-18,goog,2982.9199,3014.1799,3032.2,2980.0
2021-11-17,goog,2984.5801,2981.24,2992.52,2971.26
2021-11-16,goog,2983.4099,2981.52,2996.49,2967.0
2021-11-15,goog,3000.0,2987.76,3009.54,2973.05
2021-11-12,goog,2956.6299,2992.9099,2997.1899,2929.0801
2021-11-11,goog,2942.1399,2934.96,2970.0,2933.8999
2021-11-10,goog,2960.1951,2932.52,2970.8701,2906.5
2021-11-09,goog,2994.9199,2984.97,3007.5701,2950.1399
2021-11-08,goog,3000.0,2987.03,3020.6899,2982.3999
2021-11-05,goog,2987.0701,2984.8201,3011.415,2973.04
2021-11-04,goog,2944.0,2973.6599,2997.1699,2932.7
2021-11-03,goog,2925.5,2935.8,2938.21,2901.1399
2021-11-02,goog,2896.1877,2917.26,2938.3601,2893.8201
2021-11-01,goog,2963.3,2875.48,2967.99,2871.5901
2021-10-29,goog,2910.3999,2965.4099,2972.26,2903.3301
2021-10-28,goog,2945.98,2922.5801,2948.49,2895.5
2021-10-27,goog,2798.05,2928.55,2982.3601,2798.05
2021-10-26,goog,2812.1201,2793.4399,2816.55,2780.1101
2021-10-25,goog,2776.21,2775.46,2784.116,2736.0
2021-10-22,goog,2807.02,2772.5,2831.1699,2743.4099
2021-10-21,goog,2843.8401,2855.6101,2856.99,2832.74
2021-10-20,goog,2884.45,2848.3,2884.9551,2838.24
